Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Absorption (%),page_number,table_index
,Citizen Participation,"16,385,956","7,018,100",42.8,137,0
205034660,Citizen Participation,"16,385,956","7,018,100",42.8,137,0
,Roads and Public Works,"8,000,000","4,031,900",50.4,137,0
206014660,Public Works,"8,000,000","4,031,900",50.4,137,0
209014660,"General Administration, Planning and Support Services","80,769,676","31,962,171",39.6,137,0
210014660,Urban Infrastructural Development,"6,991,657","643,549",9.2,137,0
211014660,Environmental Management and Public Health,"4,850,000","505,123",10.4,137,0
212014660,"General Administration, Planning and Support Services","205,560,821","49,280,464",24.0,137,0
213014660,Urban Infrastructural Development,"59,209,560","92,400",0.2,137,0
214014660,Environmental Management and Public Health,"9,000,000",-,0.0,137,0
301014660,"General Administration, Planning and Support Services","84,262,464","70,169,926",83.3,137,0
,Trade Development,"44,027,102","14,082,376",32.0,137,0
304014660,Trade Licensing,"8,784,400","3,892,209",44.3,137,0
304024660,Trade Development,"19,018,234","6,910,867",36.3,137,0
304034660,Cooperative Services and Development,"13,329,566","2,486,800",18.7,137,0
304044660,Enterprise Development,"2,894,902","792,500",27.4,137,0
,Culture and Local Tourism Promotion,"3,209,288","711,000",22.2,137,0
307024660,Local Tourism Promotion,"3,209,288","711,000",22.2,137,0
,"General Administration, Planning and Support Services","1,913,039,227","1,799,440,212",94.1,137,0
401024660,General Administration and Support Services,"1,913,039,227","1,799,440,212",94.1,137,0
,Curative Health Services,"286,873,940","255,625,622",89.1,137,0
403024660,Medical Services,"286,873,940","255,625,622",89.1,137,0
,Curative and Rehabilitative,"5,507,600","2,731,574",49.6,137,0
404024660,Ambulance services,"5,507,600","2,731,574",49.6,137,0
,Public Health and Sanitation,"224,783,129","131,040,328",58.3,137,0
405014660,Preventive and Promotive,"204,196,323","119,931,420",58.7,137,0
405024660,Licensing and control,"8,223,316","4,481,920",54.5,137,0
405034660,Sanitation,"2,665,000","860,338",32.3,137,0
405044660,Mobile Clinics,"5,259,850","3,284,170",62.4,137,0
405054660,,"4,438,640","2,482,480",55.9,137,0
,"General Administration, Planning and Support Services","448,492,654","407,698,311",90.9,137,0
501014660,Headquarters Administrative Services,"448,492,654","407,698,311",90.9,137,0
,"Social Protection, Culture and Recreation","43,100,000","915,800",2.1,137,0
503014660,Homecraft Centers Development,"2,100,000","915,800",43.6,137,0
503024660,Control of Drugs and Pornography,"41,000,000",-,0.0,137,0
,Education Support,"280,584,022","175,178,111",62.4,137,0
504014660,Pre-Primary Education,"214,919,128","145,960,683",67.9,137,0
504024660,Home Craft Centers,"65,664,894","29,217,428",44.5,137,0
,Social Protection and Recreation,"52,574,560","16,595,870",31.6,138,0
505014660,Control of Drugs and Pornography,"26,678,600","528,700",2.0,138,0
505024660,Liquor Licensing,"2,925,460","689,000",23.6,138,0
505034660,Betting and Casinos,"1,388,000","525,968",37.9,138,0
505054660,Disability Mainstreaming,"21,582,500","14,852,202",68.8,138,0
,General Administration and Policy Coordination,"3,105,693,654","2,066,055,765",66.5,138,0
701014660,Headquarters Administrative Services,"3,081,298,208","2,054,350,310",66.7,138,0
701054660,County Executive Committee,"12,580,000","5,757,905",45.8,138,0
701074660,County Inspectorate,"11,815,446","5,947,550",50.3,138,0
,Public Services Coordination and Management,"144,650,000","59,757,060",41.3,138,0
703014660,Human Resource Management,"144,650,000","59,757,060",41.3,138,0
,Public Financial Management,"196,978,660","143,718,740",73.0,138,0
705044660,Accounting services,-,-,-,138,0
705054660,Supply Chain Management Services,"57,231,000","28,347,160",49.5,138,0
705064660,Fiscal and Economic Planning,"15,600,000","9,638,300",61.8,138,0
705074660,Budget,"17,580,000","10,399,530",59.2,138,0
705084660,Accounting,"14,562,000","8,017,265",55.1,138,0
705104660,Internal Audit,"11,797,000","7,363,600",62.4,138,0
705114660,Revenue Collection,"80,208,660","39,177,005",48.8,138,0
,Economic Policy Coordination and Supervision,"15,639,300","8,862,700",56.7,138,0
706034660,Monitoring and Evaluation Services,"15,639,300","8,862,700",56.7,138,0
,Devolution Services,"60,834,000","24,578,174",40.4,138,0
707014660,Coordination of Devolution Services,"21,266,000","10,818,736",50.9,138,0
707024660,Intergovernmental Relations,"32,588,000","10,552,850",32.4,138,0
707034660,County Government Advisory Service,"6,980,000","3,206,588",45.9,138,0
,"Public Service, Administration and Citizen Participation","24,250,000","14,747,250",60.8,138,0
708024660,"Public Service, administration and citizen participation",-,-,-,138,0
708034660,County Administration,"24,250,000","14,747,250",60.8,138,0
708054660,Citizen participation,-,-,-,138,0
,"ICT, Special Programmes and Service Delivery","39,606,001","19,908,264",50.3,138,0
710014660,"Information, Communication and Technology","29,426,401","15,753,319",53.5,138,0
710024660,Special Programmes,"10,179,600","4,154,945",40.8,138,0
,,"7,265,855","3,583,100",49.3,138,0
701014660,"General administration, planning and support services","171,876,663","50,669,737",29.5,138,0
901024660,Cultural Activities,"4,875,855","2,469,500",50.6,138,0
901034660,County Parks,"690,000","523,400",75.9,138,0
901044660,County Museums,"1,700,000","590,200",34.7,138,0
902014660,Gender,"72,797,281","78,501,183",107.8,138,0
903024660,Sports Training and Competitions,"18,691,370","5,688,592",30.4,138,0
903034660,Gender Mainstreaming,"5,237,840","3,544,504",67.7,138,0
,"General administration, planning and support services","128,880,244","98,747,129",76.6,138,0
1001024660,Storm Water Management Services,"11,559,636","5,022,667",43.5,138,0
1001034660,"General Administration, Policy, and Coordination","117,320,608","93,724,462",79.9,138,0
1003014660,Water,"147,089,769","34,774,250",23.6,138,0
,"General administration, policy and coordination",-,-,-,138,0
,Office of the Clerk,"54,554,000","53,777,308",98.6,138,0
,Directorate of Finance & Compliance,"13,610,000","12,755,071",93.7,138,0
,Directorate of Administration Liaison & Support Services,"80,681,026","79,996,129",99.2,138,0
