col_0,Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Department of the County Assembly,,,,,,373,1
Sub total,,"487, 237, 161","355, 694, 089","131, 543, 072",73.0,373,1
010100,"Policy planning, general administration","332, 237, 161","266, 494, 007","65, 743, 154",80.2,373,1
070900,Legislation and representation services,"155,000,000","89, 200, 082","65, 799, 918",57.5,373,1
Sub total,,"280, 207, 272","240, 735, 386","39, 471, 886",85.9,373,1
070800,Committee management services,"33,395,023","33, 262, 195","132, 828",99.6,373,1
070900,Legislation and representation services,"246, 812, 249","207, 473, 191","39, 339, 058",84.1,373,1
Department of County Executive,,,,,,373,1
070100,General administration and support services,"379, 649, 855","354, 905, 101","24, 744, 754",93.4,373,1
Subtotal,,"379, 649, 855","354, 905, 101","24, 744, 754",93.4,373,1
070100,General administration and support services,"18, 489, 700","17, 344, 868","1, 144, 831",93.8,373,1
070600,Governance and coordination services,"54, 022, 770","45, 382, 061","8, 640, 709",84.0,373,1
Subtotal,,"72, 512, 470","62, 726, 929","9, 785, 541",86.5,373,1
Department of Finance and economic planning,,,,,,373,1
050400,ICT Services,"3, 000, 000","2, 951, 279","48, 721",98.4,373,1
070100,General administration and support services,"255, 486, 995","247, 037, 965","8, 449, 030",96.7,373,1
070500,Resource mobilisation,"15, 254, 660","14, 078, 691","1, 425, 969",92.3,373,1
Sub total,,"273, 991, 655","264, 067, 935","9, 923, 720",96.4,373,1
050400,ICT Services,"10, 204, 852","6, 476, 474","3, 728, 378",63.5,373,1
070200,Budget formulation and management,"8,600,010","7, 245, 500","1, 354, 510",84.3,373,1
Sub total,,"18, 804, 862","13, 721, 974","5, 082, 888",73.0,373,1
070200,Budget formulation and management,"102, 339, 891","70, 072, 924","32, 266, 957",68.5,373,1
Subtotal,,"102, 339, 891","70, 072, 924","32, 266, 957",68.5,373,1
070400,County financial management & control,"3, 000, 000","2, 981, 346","18, 654",99.4,373,1
Sub total,,"3, 000, 000","2, 981, 346","18, 654",99.4,373,1
070100,General administration and support services,"2, 550, 020","2, 472, 115","77, 905",96.9,373,1
Sub total,,"2, 550, 020","2, 472, 115","77, 905",96.9,373,1
070400,County financial management & control,"3, 000, 006","2, 579, 680","420, 326",86.0,373,1
Sub total,,"3, 000, 006","2, 579, 680","420, 326",86.0,373,1
050400,ICT services,"112, 815, 048",0.00,"112, 815, 048",0.0,374,0
070200,Budget formulation and management,"105, 000, 000","44, 104, 973","61, 165, 027",42.0,374,0
Sub total,,"217,815,048","44, 104, 973","173, 410, 075",20.2,374,0
"Department of Agriculture, livestock and fisheries development",,,,,,374,0
010100,"Policy planning, general administration and sup-
port services","163,541,681","162, 519, 901","1, 021, 712",99.4,374,0
Sub total,,"163,541,681","162, 519, 901","1, 021, 712",99.4,374,0
010400,Livestock promotion and development,"2,500,000","2,500,000",0,100.0,374,0
Sub total,,"2,500,000","2, 500, 000",0,100.0,374,0
010200,"Crop, agribusiness & land management services","313,081,363","211, 473, 293","101, 608, 070",67.5,374,0
Sub total,,"313,081,363","211, 473, 293","101, 608, 070",67.5,374,0
010300,Fisheries development & promotion services,"1, 113, 000","1,084,500","28,500",97.4,374,0
Sub total,,"1, 113, 000","1,084,500","28,500",97.4,374,0
"Environment, water and natural resources",,,,,,374,0
100100,"Policy planning, general administration and sup-
port services","78, 623, 857","77, 065, 981","77, 065, 981",98.0,374,0
Subtotal,,"78, 623, 857","77, 065, 981","77, 065, 981",98.0,374,0
100200,,"22, 509,200","18,178,581","4,333,619",80.8,374,0
Sub total,,"22, 509,200","18,178,581","4,333,619",80.8,374,0
100300,Water supply and management services,"143, 890, 800","142, 268, 078","1, 622, 722",99.5,374,0
Subtotal,,"143, 890, 800","142, 268, 078","1, 622, 722",99.5,374,0
Department of Education and vocational training,,,,,,374,0
050100,"General administration, policy planning & sup-
port services","363, 582, 278","363, 079, 220","503, 058",99.9,374,0
Sub total,,"363, 582, 278","363, 079, 220","503, 058",99.9,374,0
050200,ECDE and CCC development services,"19, 110, 732","38, 969, 582","(19, 858, 850)",203.9,374,0
Subtotal,,"19, 110, 732","38, 969, 582","(19, 858, 850)",203.9,374,0
050300,Vocational training and development services,"114, 275, 430","113, 836, 048","439, 382",99.6,374,0
Subtotal,,"114, 275, 430","113, 836, 048","439, 382",99.6,374,0
Department of Health Services,,,,,,374,0
040100,"General administration, planning and support
services","1,588,499,992","1,587,220,716","1, 279, 276",99.9,374,0
040200,Curative health services,"10, 355, 529","9, 014, 527","1, 341, 002",87.1,374,0
Subtotal,,"1,598,855,521","1,596,235,243","2, 620, 278",99.8,374,0
040200,Curative health services,"700, 271, 470","545, 512, 701","154, 758, 769",77.9,374,0
Subtotal,,"700, 271, 470","545, 512, 701","154, 758, 769",77.9,374,0
"Department of Lands, housing and urban development",,,,,,374,0
010100,"Policy planning, general administration and sup-
port services","80, 352, 053","77, 966, 933","2, 385, 120",97.0,374,0
010500,Physical planning and surveying services,"24, 998, 000","25, 217, 500","(219, 500)",100.9,374,0
010700,Management and development of towns,"63, 255, 194","51, 906, 575","11, 348, 619",82.1,374,0
Subtotal,,"168, 605, 247","155, 091, 008","13, 514, 239",92.0,374,0
010600,Housing improvement development,"54, 187, 416","922, 500","53, 264, 916",1.7,374,0
Subtotal,,"54, 187, 416","922, 500","53, 264, 916",1.7,374,0
"Department of roads, transport and public works",,,,,,374,0
010100,"Policy planning, general administration and sup-
port services","8, 500, 000","8, 495, 000","5, 000",99.9,374,0
020100,General administration and support services,"112, 861, 008","110, 821, 601","2, 039, 407",98.2,374,0
Subtotal,,"121, 361, 008","119, 316, 601","2, 044, 407",98.3,374,0
020200,Roads development and management,"263, 900, 044","217, 624, 527","46, 275, 517",82.5,374,0
Subtotal,,"263, 900, 044","217, 624, 527","46, 275, 517",82.5,374,0
020200,Roads development and management,"450, 000","432, 480","17, 520",96.1,374,0
