Programme,Description,Final Budget (Kshs.),Expenditure (Kshs.),"Absorption Rate
(%)",page_number,table_index
COUNTY EXECUTIVE RECURRENT PROGRAMMES,,,,,129,1
,"General Administration, Planning and Support
Services","141,286,749","107,872,901",76.4,130,0
101024660,General Administration and Support Services,"141,286,749","107,872,901",76.4,130,0
,"Livestock Resources Management and Devel-
opment","1,770,841","346,700",19.6,130,0
103034660,Veterinary Services,"1,770,841","346,700",19.6,130,0
,Fisheries Development and Management,"1,372,857","308,000",22.4,130,0
104024660,Fisheries,"1,372,857","308,000",22.4,130,0
,Land Policy and Planning,"28,559,219","8,865,435",31.0,130,0
106034660,Physical Planning,"7,356,000","2,236,986",30.4,130,0
106044660,Land Survey and Mapping,"3,959,919","944,300",23.8,130,0
106054660,Housing,"2,672,800","1,385,599",51.8,130,0
106064660,,"3,270,500","2,419,550",74.0,130,0
106074660,,"11,300,000","1,879,000",16.6,130,0
,"Animal Husbandry Livestock Resource Man-
agement and Development","31,246,693","15,890,035",50.9,130,0
107014660,Animal Husbandry,"4,730,950","1,210,840",25.6,130,0
107024660,County Abattoirs,"1,511,586","319,000",21.1,130,0
107034660,Animal Disease Control,"24,537,945","14,360,195",58.5,130,0
107044660,Livestock Sale Yards,"466,213",0,0.0,130,0
,Agricultural Development,"18,065,759","3,178,730",17.6,130,0
108014660,Crop Husbandry,"6,088,572","1,016,600",16.7,130,0
108024660,Plant Disease Control,"1,550,009","137,200",8.9,130,0
108034660,Agricultural Mechanization Services,"2,216,829",0,0.0,130,0
108044660,Demonstration Farm,"311,072","9,000",2.9,130,0
108054660,Agricultural Training Centre,"937,507",0,0.0,130,0
108064660,Irrigation,"6,961,770","2,015,930",29.0,130,0
,Environment Management,"26,173,616","20,485,987",78.3,130,0
109014660,Environmental Protection,"22,688,616","18,731,137",82.6,130,0
109024660,Noise Pollution Management,"1,325,000","444,250",33.5,130,0
109034660,Control of Air Pollution,"435,000","187,200",43.0,130,0
109044660,,"1,725,000","1,123,400",65.1,130,0
,"General Administration, Planning and Support
Services","87,054,174","79,833,587",91.7,130,0
201014660,Headquarters Administrative Services,"56,804,174","55,352,130",97.4,130,0
201024660,Roads,"4,250,000","4,177,000",98.3,130,0
201034660,Energy,"10,000,000","9,587,400",95.9,130,0
201044660,Fire Fighting,"6,000,000","5,099,457",85.0,130,0
201054660,Transport,"10,000,000","5,617,600",56.2,130,0
,Citizen Participation,"8,192,978","2,277,950",27.8,130,0
205034660,Citizen Participation,"8,192,978","2,277,950",27.8,130,0
,Roads and Public Works,"4,000,000","3,808,900",95.2,130,0
206014660,Public Works,"4,000,000","3,808,900",95.2,130,0
,"General Administration, Planning and Support
Services","42,047,232","39,358,171",93.6,130,0
301014660,"General Administration, Planning and Support
Services","42,047,232","39,358,171",93.6,130,0
,Trade Development,"22,097,551","8,124,731",36.8,130,0
304014660,Trade Licensing,"4,401,200","2,854,531",64.9,130,0
304024660,Trade Development,"9,584,117","1,811,900",18.9,130,0
304034660,Cooperative Services and Development,"6,664,783","2,957,800",44.4,131,0
304044660,Enterprise Development,"1,447,451","500,500",34.6,131,0
,Culture And Local Tourism Promotion,"1,604,644","1,434,000",89.4,131,0
307024660,Local Tourism Promotion,"1,604,644","1,434,000",89.4,131,0
,"General Administration, Planning and Support
Services","942,465,883","908,679,892",96.4,131,0
401024660,General Administration and Support Services,"942,465,883","908,679,892",96.4,131,0
,Curative Health Services,"143,436,970","138,889,974",96.8,131,0
403024660,Medical Services,"143,436,970","138,889,974",96.8,131,0
,Curative and Rehabilitative,"2,753,800","1,180,794",42.9,131,0
404024660,Ambulance services,"2,753,800","1,180,794",42.9,131,0
,Public Health and Sanitation,"106,654,178","77,215,207",72.4,131,0
405014660,Preventive and Promotive,"96,360,775","72,168,687",74.9,131,0
405024660,Licensing and control of the undertaking,"4,111,658","2,537,920",61.7,131,0
405034660,Sanitation,"1,332,500","354,200",26.6,131,0
405044660,Mobile Clinics,"2,629,925","628,600",23.9,131,0
405054660,,"2,219,320","1,525,800",68.8,131,0
,"General Administration, Planning and Support
Services","225,121,327","220,609,250",98.0,131,0
501014660,Headquarters Administrative Services,"225,121,327","220,609,250",98.0,131,0
,"Social Protection, Culture and Recreation","1,050,000","495,200",47.2,131,0
503014660,Home craft Centres Development,"1,050,000","495,200",47.2,131,0
,Education Support,"111,039,564","104,998,378",94.6,131,0
504014660,Pre-Primary Education,"92,459,564","88,038,000",95.2,131,0
504024660,Home Craft Centres,"18,580,000","16,960,378",91.3,131,0
,Social Protection and Recreation,"26,287,280","11,975,738",45.6,131,0
505014660,Control of Drugs and Pornography,"13,339,300","299,900",2.2,131,0
505024660,Liquor Licensing,"1,462,730","777,500",53.2,131,0
505034660,Betting and Casinos,"694,000","517,020",74.5,131,0
505054660,Disability Mainstreaming,"10,791,250","10,381,318",96.2,131,0
,"General Administration and Policy Coordina-
tion","652,323,709","549,681,249",84.3,131,0
701014660,Headquarters Administrative Services,"640,125,986","542,712,294",84.8,131,0
701054660,County Executive Committee,"6,290,000","3,082,505",49.0,131,0
701074660,County Inspectorate,"5,907,723","3,886,450",65.8,131,0
,Public Services Coordination and Management,"72,325,000","47,428,100",65.6,131,0
703014660,Human Resource Management,"72,325,000","47,428,100",65.6,131,0
