col_0,Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Department of the County Assembly,,,,,,332,1
Subtotal,,"531, 604, 399","234, 973, 083","296, 631, 316",44.3,332,1
010100,"Policy planning, general administration","337, 926, 193","173, 130, 340","164, 795, 853",51.4,332,1
070900,Legislation and representation services,"193, 678, 206","61, 842, 743","131, 835, 463",31.9,332,1
Sub total,,"274, 516, 240","133, 713, 963","140, 804, 277",48.7,332,1
070800,Committee management services,"23, 959, 000","11, 278, 395","12, 680, 605",47.1,332,1
070900,Legislation and representation services,"250, 559, 240","122, 435, 569","128, 123, 671",48.9,332,1
Department of County executive,,,,,,332,1
070100,General administration and support services,"396,649,855","161, 759,647","234, 890,208",40.8,332,1
subtotal,,"396, 649, 855","161, 759, 647","234,890,208",40.8,332,1
070100,General administration and support services,"18, 489, 700","3, 239, 100","15,250,600",17.5,332,1
070600,Governance and coordination services,"54, 022, 770","17, 564, 900","36, 457, 870",32.5,332,1
subtotal,,"72, 512, 470","20, 804, 000","51, 708, 470",28.7,332,1
Department of Finance and economic planning,,,,,,332,1
050400,ICT Services,"3, 000, 000","1, 320, 900","1, 679, 100",44.0,332,1
070100,General administration and support services,"211, 908, 939","110, 770, 956","101, 137, 983",52.3,332,1
070500,Resource mobilisation,"26, 999, 964","1, 961, 580","25, 038, 384",7.3,332,1
Sub total,,"241, 908, 903","114, 053, 436","127, 855, 467",47.1,332,1
050400,ICT Services,"7, 000,0000","2, 123, 104","4, 876, 896",30.3,332,1
070200,Budget formulation and management,"3, 000, 010","1, 304, 000","1, 696, 010",43.5,332,1
Sub total,,"10, 000, 010","3, 427, 104","6, 572, 906",34.3,332,1
070200,Budget formulation and management,"53, 126, 841","27, 374, 185","25, 752, 656",51.5,332,1
Subtotal,,"53, 126, 841","27, 374, 185","25, 752, 656",51.5,332,1
070400,County financial management & control,"3, 000, 000","1, 282, 500","1, 717, 500",42.8,332,1
Sub total,,"3, 000, 000","1, 282, 500","1, 717, 500",42.8,332,1
070100,General administration and support services,"3, 000, 002","1, 223, 400","1, 776, 620",40.8,332,1
Sub total,,"3, 000, 002","1, 223, 400","1, 776, 620",40. 8,332,1
070400,County financial management & control,"3, 000, 006","1, 221, 170","1, 778, 836",40.7,332,1
Sub total,,"3, 000, 006","1, 221, 170","1, 778, 836",40.7,332,1
050400,ICT services,"112, 815, 048",0.00,"112, 815, 048",0.0,333,0
070200,Budget formulation and management,"125, 000, 000","22, 130, 325","102, 869, 675",17.7,333,0
Sub total,,"237, 815, 048","22, 130, 325","215, 684, 723",9.3,333,0
"Department of Agriculture, livestock and fisheries development",,,,,,333,0
010100,"Policy planning, general administration and
support services","155, 439, 700","73, 330, 835","82, 108, 865",47.2,333,0
Sub total,,"155, 439, 700","73, 330, 835","82, 108, 865",47.2,333,0
010400,Livestock promotion and development,"3, 800, 000","1, 500, 000","2, 300, 000",39.5,333,0
Sub total,,"3, 800, 000","1, 500, 000","2, 300, 000",39.5,333,0
010200,"Crop, agribusiness & land management services","321, 592, 845","48, 128, 242","273, 464, 603",15.0,333,0
Sub total,,"321, 592, 845","48, 128, 242","273, 464, 603",15.0,333,0
010300,Fisheries development & promotion services,"1, 113, 000","556, 000","557, 000",50.0,333,0
Sub total,,"1, 113, 000","556, 000","557, 000",50.0,333,0
"Environment, water and natural resources",,,,,,333,0
100100,"Policy planning, general administration and
support services","72, 647, 959","34, 946, 639","37, 701, 320",48.1,333,0
Subtotal,,"72, 647, 959","34, 946, 639","37, 701, 320",48.1,333,0
100200,,"22, 550, 000","9, 630, 676","12, 919, 324",42.7,333,0
Sub total,,"22, 550, 000","9, 630, 676","12, 919, 324",42.7,333,0
100300,Water supply and management services,"194, 150, 000","43, 913, 924","150, 236, 076",22.6,333,0
Subtotal,,"194, 150, 000","43, 913, 924","150, 236, 076",22.6,333,0
Department of Education and vocational training,,,,,,333,0
050100,"General administration, policy planning & sup-
port services","288, 913, 277","144, 424, 486","144, 488, 791",50.0,333,0
Sub total,,"288, 913, 277","144, 424, 486","144, 488, 791",50.0,333,0
050200,ECDE and CCC development services,"80, 938, 630","31, 056, 399","49, 882, 231",38.4,333,0
Subtotal,,"80, 938, 630","31, 056, 399","49, 882, 231",38.4,333,0
050300,Vocational training and development services,"114, 680, 842","112, 416, 600","2, 264, 242",98.0,333,0
Subtotal,,"114, 680, 842","112, 416, 600","2, 264, 242",98.0,333,0
Department of Health services,,,,,,333,0
040100,"General administration, planning and support
services","1,546,018,174","750, 658, 254","795, 539, 920",48.6,333,0
040200,Curative health services,"8, 829, 561","4, 045, 377","4, 784, 184",45.8,333,0
Subtotal,,"1,544,847,735","754, 703, 632","800, 144,103",48.9,333,0
040200,Curative health services,"642, 359, 724","325, 728, 173","316, 631, 551",50.7,333,0
Subtotal,,"642, 359, 724","325, 728, 173","316, 631, 551",50.7,333,0
"Department of Lands, housing and urban development",,,,,,333,0
010100,"Policy planning, general administration and
support services","68, 210, 790","32, 012, 613","36, 198, 177",46.9,333,0
010500,Physical planning and surveying services,"79, 000, 000","22, 217, 500","56, 782, 500",28.1,333,0
010700,Management and development of towns,"61, 554, 023","6, 955, 795","54, 598, 228",11.3,333,0
Subtotal,,"208, 764, 813","61, 185, 907","147, 578, 905",29.3,333,0
010600,Housing improvement development,"90, 000, 000","922, 500","89, 077, 500",1.0,333,0
Subtotal,,"90, 000, 000","922, 500","89, 077, 500",1.0,333,0
"Department of roads, transport and public works",,,,,,333,0
010100,"Policy planning, general administration and
support services","8, 500, 000",0.00,"8, 500, 000",0.0,333,0
020100,General administration and support services,"95, 679, 190","37, 900, 307","57, 778, 882",39.6,333,0
Subtotal,,"104, 179, 190","37, 900, 307","66, 278, 883",36.4,334,0
020200,Roads development and management,"374, 199, 206","81, 746, 401","292, 452, 805",21.8,334,0
Subtotal,,"374, 199, 206","81, 746, 401","292, 452, 805",21.8,334,0
020200,Roads development and management,"450, 000","150, 000","300, 000",33.3,334,0
Subtotal,,"450, 000","150, 000","300, 000",33.3,334,0
"Department of trade, tourism, industrialisation and cooperative development",,,,,,334,0
030100,"Policy planning, general administration and
support services","29, 032, 754","12, 684, 623","16, 348, 131",43.7,334,0
030300,Tourism development and promotion,"896, 000","365, 109","530, 891",40.7,334,0
,Subtotal,"29, 032, 754","13, 049, 732","16, 879, 022",44.9,334,0
030200,"Trade, cooperative, investment development
promotion","40, 563, 192","20, 727, 074","19, 836, 118",51.1,334,0
Subtotal,,"40, 563, 192","20, 727, 074","19, 836, 118",51.1,334,0
"Department of youths, sports, gender, culture social services",,,,,,334,0
070100,General administration and support services,"47, 161, 056","22, 850, 653","24, 310, 403",48.5,334,0
,Subtotal,"47, 161, 056","22, 850, 653","24, 310, 403",48.5,334,0
090200,Promotion and management of sports,"4, 725, 000","484, 600","4, 240, 400",10.3,334,0
Subtotal,,"4, 725, 000","484, 600","4, 240, 400",10.3,334,0
090200,Promotion and management of sports,"104, 329, 370","21, 998, 052","82, 331, 318",21.1,334,0
Subtotal,,"104, 329, 370","21, 998, 052","82, 331, 318",21.1,334,0
Department of County public service board,,,,,,334,0
070100,General administration and support services,"5, 381, 500","2, 185, 000","3, 196, 500",40.6,334,0
100100,"Policy planning, general administration and
support services","60, 731, 790","23, 518, 471","37, 213, 319",38.7,334,0
Subtotal,,"66, 113, 290","25, 703, 471","40, 409, 819",38.9,334,0
Department of public service management,,,,,,334,0
010100,"Policy planning, general administration and
support services","317, 638, 378","192, 974, 442","142, 663, 936",60.8,334,0
070100,General administration and support services,"654, 000","275, 200","378, 800",42.1,334,0
071000,"Coordination, strategy and HR Services","62, 876, 500","870, 650","62, 005, 850",1.4,334,0
,Subtotal,"381, 168, 878","194, 120, 292","187, 048, 586",50.9,334,0
Department of Nyamira Municipality,,,,,,334,0
010100,"Policy planning, general administration and
support services","41, 405, 052","20, 314, 628","21, 090, 424",49.1,334,0
020200,Roads development and management,"164, 460, 354",0.00,"164, 460, 354",0.0,334,0
Sub total,,"205, 865, 406","20, 314, 628","185, 550, 778",9.9,334,0
Grand Total,,"6,937,617,659","2,803,452,038","4,134,165,621",40.4,334,0
