Programme,col_1,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Department of the County Assembly,,,,,,476,0
Sub total,,"944, 979, 149","373, 595, 581","571, 383, 168",,476,0
010100,"Policy planning, general
administration","413, 023, 708","223, 037, 295","189, 986, 413",54.0,476,0
070800,"Committee management
services","23, 206, 500","10, 759, 700","12, 703, 700",46.5,476,0
070900,"Legislation and representation
services","508, 748, 941","139, 798, 986","368, 949, 955",27.5,476,0
Department of County Executive,,,,,,476,0
070100,"General administration and
support services","359, 584, 342","141, 069, 462","218, 514, 880",39.2,476,0
subtotal,,"359, 584, 342","141, 069, 462","218, 514, 880",,476,0
070600,"Governance and coordination
services","35, 288, 483","8, 089, 400","27, 199, 083",22.9,476,0
subtotal,,"35, 288, 483","8, 089,
400","27, 199, 083",,476,0
Department of Finance and Economic Planning,,,,,,476,0
070100,"General administration and
support services","50, 148, 800","33, 139, 008","17, 009, 792",66.1,476,0
010100,"Policy planning, general admin-
istration","50, 000","50, 000",0.0,100.0,476,0
Sub total,,"50, 198, 800","33, 189, 008","17, 009, 792",,476,0
070300,Accounting services,"114, 799, 393","125, 591, 815","-10, 792, 422",109.4,476,0
070400,"County financial management
and control","95, 319, 688","76, 604, 638","18, 715, 050",80.4,476,0
Sub total,,"210, 119, 081","202, 196, 453","7, 922, 628",,476,0
070100,"General administration and
support services","8, 414, 006","2, 576, 500","5, 837, 506",30.6,476,0
Sub total,,"8, 414, 006","2, 576, 500","5, 837, 506",,476,0
070400,"County financial management
and control","10, 800, 700","3, 161, 500","7, 639, 200",29.3,476,0
Sub total,,"10, 800, 700","3, 161, 500","7, 639, 200",,476,0
"Department of Agriculture, livestock and fisheries development",,,,,,476,0
010100,"Policy planning, general admin-
istration and support services","48, 681, 488","20, 396, 566","28, 284, 922",41.9,476,0
Sub total,,"48, 681, 488","20, 396, 566","28, 284, 922",,476,0
010200,"Crop, agribusiness & land man-
agement services","515, 199, 784","113, 135, 750","402, 064, 034",22.0,476,0
Sub total,,"515, 199, 784","113, 135, 750","402, 064, 034",,476,0
010200,"Crop, agribusiness & land man-
agement services","6, 718, 230","4, 160, 430","2, 557, 800",61.9,476,0
Sub total,,"6, 718, 230","4, 160, 430","2, 557, 800",,476,0
"Environment, water and natural resources",,,,,,476,0
100100,"Policy planning, general
administration and support
services","72, 062, 430","37, 428, 006","34, 634, 424",51.9,476,0
Subtotal,,"72, 062, 430","37, 428, 006","34, 634, 424",,476,0
100200,Other energy sources promotion,"17, 600, 000","699, 500","16, 900, 500",4.0,476,0
Sub total,,"17, 600, 000","150, 500","29, 449, 500",,476,0
100300,"Water supply and management
services","55, 100, 000","995, 600","54, 104, 400",1.8,477,0
Subtotal,,"55, 100, 000","995, 600","54, 104, 400",,477,0
100400,Agroforestry promotion,"209, 650, 000","34, 272, 100","175, 377, 900",16.3,477,0
Subtotal,,"209, 650, 000","34, 272, 100","175, 377, 900",,477,0
Department of Education and Vocational Training,,,,,,477,0
050100,"General administration, policy
planning & support services","378, 075, 141","174, 882, 364","203, 192, 777",46.3,477,0
Sub total,,"378, 075, 141","174, 882, 364","203, 192, 777",,477,0
050200,"ECDE and CCC development
services","50, 300, 500","3, 967, 240","46, 333, 240",7.9,477,0
Subtotal,,"50, 300, 500","3, 967, 240","46, 333, 240",,477,0
050300,"Vocational training and develop-
ment services","145, 764, 245","101, 564, 017","44, 200, 228",69.7,477,0
Subtotal,,"145, 764, 245","101, 564, 017","44, 200, 228",,477,0
Department of Health Services,,,,,,477,0
040100,"General administration, planning
and support services","509, 900, 468","237, 916, 602","271, 983, 866",46.7,477,0
Subtotal,,"509, 900, 468","237, 916, 602","271, 983, 866",,477,0
040200,Curative health services,"354, 678, 901","22, 998, 594","331, 680, 307",6.5,477,0
Subtotal,,"354, 678, 901","22, 998, 594","331, 680, 307",,477,0
"Department of Lands, housing and urban development",,,,,,477,0
010100,"Policy planning, general admin-
istration and support services","118, 426, 549","51, 074, 087","67, 351, 988",43.1,477,0
Subtotal,,"118, 426, 549","51, 074, 087","67, 351, 988",,477,0
010500,"Physical planning and surveying
services","42, 840, 065","12, 999, 100","29, 840, 965",43.1,477,0
Subtotal,,"42, 840, 065","12, 999, 100","29, 840, 965",,477,0
010700,"Management and development
of towns","141, 871, 549","1, 840, 900","140, 030, 649",1.3,477,0
Subtotal,,"141, 871, 549","1, 840, 900","140, 030, 649",,477,0
"Department of roads, transport and public works",,,,,,477,0
020100,"General administration and
support services","84, 021, 297","48, 446, 325","35, 574, 972",57.7,477,0
Subtotal,,"84, 021, 297","48, 446, 325","35, 574, 972",,477,0
020200,"Roads development and manage-
ment","214, 200, 163","17, 364, 671","196, 835, 492",8.1,477,0
Subtotal,,"214, 200, 163","17, 364, 671","196, 835, 492",,477,0
020200,"Roads development and man-
agement","2, 500, 000","1, 117, 400","1, 382, 600",44.7,477,0
Subtotal,,"2, 500, 000","1, 117, 400","1, 382, 600",,477,0
"Department of Trade, tourism, industrialization and cooperative development",,,,,,477,0
030100,"Policy planning, general admin-
istration and support services","26, 004, 015","15, 683, 831","10, 320, 184",60.3,477,0
,Subtotal,"26, 004, 015","15, 683, 831","10, 320, 184",,477,0
030200,"Trade, cooperative, investment
development promotion","507, 553, 900","3, 263,
666","504, 290, 234",0.6,477,0
Subtotal,,"507, 553, 900","3, 263, 666","504, 290, 234",,477,0
030200,"Trade, cooperative, investment
development promotion","32, 368, 444","6, 020, 015","26, 348, 429",18.6,478,0
,,"32, 368, 444","6, 020, 015","26, 348, 429",,478,0
"Department of youths, sports, gender, culture social services",,,,,,478,0
070100,"General administration and
support services","53, 341, 929","24, 802, 694","28, 539, 235",46.5,478,0
,Subtotal,"53, 341, 929","24, 802, 694","28, 539, 235",,478,0
090200,"Promotion and management of
sports","9, 500, 000","243, 000","9, 257, 000",2.6,478,0
