Program,Sub Program,Description,"Approved Bud-
get (Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
101004660,,"General Administration, Planning and
Support Services","556,101,697","119,404,123","436,697,574",21.5,115,0
,101014660,Headquarters Administrative Services,-,-,-,-,115,0
,101024660,"General Administration and Support
Services","556,101,697","119,404,123","436,697,574",21.5,115,0
102004660,,Crop and Plant Husbandry,-,-,-,-,115,0
,102014660,Crop Development and Management.,-,-,-,-,115,0
,102024660,Plant Diseases Management and Control,-,-,-,-,115,0
103004660,,"Livestock Resource Management and
Development","2,821,682","702,800","2,118,882",24.9,115,0
,103014660,Animal Husbandry Management,-,-,-,-,115,0
,103024660,"Livestock Sale Yard and Abattoirs Devel-
opment",-,-,-,-,115,0
,103034660,Veterinary Services,"2,821,682","702,800","2,118,882",24.9,115,0
104004660,,"Fisheries Development and Manage-
ment","2,075,725","70,000","2,005,725",3.4,115,0
,104014660,"Fisheries Policy Strategy and Capacity
Building",-,-,-,-,115,0
,104024660,Fisheries,"2,075,725","70,000","2,005,725",3.4,115,0
105004660,,"Environment Protection and Natural
Resources",-,-,-,-,115,0
,105014660,Forestry Conservation and Management,-,-,-,-,115,0
,105024660,"Air and Noise Pollution and Other Pub-
lic Nuisance",-,-,-,-,115,0
106004660,,Land Policy and Planning,"51,949,900","13,322,019","38,627,881",25.6,115,0
,106014660,Land Survey,-,-,-,-,115,0
,106024660,Boundaries and Fencing Services,-,-,-,-,115,0
,106034660,Physical Planning,"17,923,900","4,719,069","13,204,831",26.3,115,0
,106044660,Land Survey and Mapping,"11,890,000","490,000","11,400,000",4.1,115,0
,106054660,Housing,"4,116,000",-,"4,116,000",-,115,0
,106064660,,"5,530,000","1,899,090","3,630,910",34.3,115,0
,106074660,,"12,490,000","6,213,860","6,276,141",49.8,115,0
107004660,,"Animal Husbandry Livestock Resource
Management and Development","70,245,565","3,206,109","67,039,457",4.6,115,0
,107014660,Animal Husbandry,"22,214,079","1,786,200","20,427,879",8.0,115,0
,107024660,County Abattoirs,"1,223,171",0,"1,223,171",0.0,115,0
,107034660,Animal Disease Control,"46,075,889","1,411,600","44,664,289",3.1,115,0
,107044660,Livestock Sale Yards,"732,426","8,309","724,118",1.1,115,0
108004660,,Agricultural Development,"24,670,585","1,755,869","22,914,716",7.1,115,0
,108014660,Crop Husbandry,"15,577,143","800,550","14,776,593",5.1,115,0
,108024660,Plant Disease Control,"3,100,018","179,200","2,920,818",5.8,115,0
,108034660,Agricultural Mechanization Services,"4,433,658","732,684","3,700,974",16.5,115,0
,108044660,Demonstration Farm,"622,144","29,400","592,744",4.7,115,0
,108054660,Agricultural Training Centre,"937,622","14,035","923,587",1.5,115,0
109004660,,Environment Management,"89,161,432","18,753,141","70,408,291",21.0,115,0
,109014660,Environmental Protection,"85,491,432","17,073,886","68,417,546",20.0,115,0
,109024660,Noise Pollution Management,"1,100,000","592,000","508,000",53.8,115,0
,109034660,Control of Air Pollution,"620,000","259,435","360,565",41.8,115,0
,109044660,,"1,950,000","827,820","1,122,180",42.5,115,0
201004660,,"General Administration, Planning and
Support Services","843,098,258","60,790,771","782,307,487",7.2,115,0
,201014660,Headquarters Administrative Services,"105,581,124","41,348,504","64,232,620",39.2,115,0
,201024660,Roads,"702,817,134","5,763,000","697,054,134",0.8,115,0
,201034660,Energy,"12,000,000","3,788,000","8,212,000",31.6,115,0
,201044660,Fire Fighting,"7,500,000","2,873,895","4,626,105",38.3,115,0
,201054660,Transport,"15,200,000","7,017,372","8,182,628",46.2,115,0
202004660,,Energy and Infrastructure,0,"1,301,628","-1,301,628",-,115,0
,202014660,Construction of Roads and Bridges,-,-,-,-,115,0
,202024660,Development of Energy,-,-,-,-,115,0
,202034660,Housing,-,"1,301,628","-1,301,628",-,116,0
203004660,,"Public Works, Transport and Housing
Development","10,000,000",-,"10,000,000",-,116,0
,203014660,Housing Development,"10,000,000",-,"10,000,000",-,116,0
,203024660,Fire Fighting Services,-,-,-,-,116,0
,203034660,Transport Services,-,-,-,-,116,0
204004660,,"Information Communication and
Technology",-,-,-,-,116,0
,204014660,"General Administration, planning and
Support Services",-,-,-,-,116,0
205004660,,Citizen Participation,-,-,-,-,116,0
,205014660,Media Relations,-,-,-,-,116,0
,205024660,Gender Mainstreaming,-,-,-,-,116,0
,205044660,Disability Mainstreaming,-,-,-,-,116,0
206004660,,Roads and Public Works,"7,214,000","3,224,600","3,989,400",44.7,116,0
,206014660,Public Works,"7,214,000","3,224,600","3,989,400",44.7,116,0
301004660,,"General Administration, Planning and
Support Services","75,783,475","37,093,012","38,690,463",48.9,116,0
,301014660,"General Administration, Planning and
Support Services","75,783,475","37,093,012","38,690,463",48.9,116,0
302004660,,Trade and Tourism Development,-,-,-,-,116,0
,302014660,Tourism Promotion and Marketing,-,-,-,-,116,0
,302024660,Trade Development,-,-,-,-,116,0
303004660,,"Cooperative Development and Man-
agement",-,-,-,-,116,0
,303014660,Cooperative Services,-,-,-,-,116,0
304004660,,Trade Development,"136,698,401","13,969,390","122,729,011",10.2,116,0
,304014660,Trade Licensing,"6,342,400","2,895,297","3,447,103",45.6,116,0
,304024660,Trade Development,"106,368,234","3,142,848","103,225,386",3.0,116,0
,304034660,Cooperative Services and Development,"20,032,866","6,281,245","13,751,621",31.4,116,0
,304044660,Enterprise Development,"3,954,901","1,650,000","2,304,901",41.7,116,0
305004660,,"Industrialization and Local Tourism
Promotion",-,-,-,-,116,0
,305014660,Industrialization,-,-,-,-,116,0
,305024660,Local Tourism Promotion,-,-,-,-,116,0
307004660,,Culture And Local Tourism Promotion,"2,790,685","1,150,849","1,639,836",41.2,116,0
,307024660,Local Tourism Promotion,"2,790,685","1,150,849","1,639,836",41.2,116,0
401004660,,"General Administration, Planning and
Support Services","1,953,112,877","854,860,419","1,098,252,458",43.8,116,0
,401014660,"Health Policy, Planning & Financing",-,-,-,-,116,0
,401024660,"General Administration and Support
Services","1,953,112,877","854,860,419","1,098,252,458",43.8,116,0
402004660,,"Preventive & Promotive Health Ser-
vices",-,-,-,-,116,0
,402014660,Promotion of Primary Health Care,-,-,-,-,116,0
,402024660,Licensing and Control Undertaking,-,-,-,-,116,0
,402034660,Cemetery Funeral Parlor and Crematoria,-,-,-,-,116,0
403004660,,Curative Health Services,"320,818,690","131,423,009","189,395,682",41.0,116,0
,403024660,Medical Services,"320,818,690","131,423,009","189,395,682",41.0,116,0
,403034660,Ambulance Services,-,-,-,-,116,0
404004660,,Curative and Rehabilitative,"7,940,000","4,213,694","3,726,306",53.1,116,0
,404014660,Medical Supplies,-,-,-,-,116,0
,404024660,Ambulance services,"7,940,000","4,213,694","3,726,306",53.1,116,0
405004660,,Public Health and Sanitation,"323,887,803","88,232,906","235,654,897",27.2,116,0
,405014660,Preventive and Promotive,"307,954,883","84,939,856","223,015,027",27.6,116,0
,405024660,Licensing and control of undertaking,"7,705,000","1,331,000","6,374,000",17.3,116,0
,405034660,Sanitation,"4,627,920","609,000","4,018,920",13.2,116,0
,405044660,Mobile Clinics,"3,600,000","1,353,050","2,246,950",37.6,116,0
501004660,,"General Administration, Planning and
Support Services","386,273,357","192,707,064","193,566,293",49.9,116,0
