col_0,Programme,col_2,"Approved
Budget (Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
010100,"Policy planning,
general administration
andsupport services",,"110, 352, 145","110, 151, 349","200, 796",99.8,515,0
Subtotal,,,"110, 352, 145","110, 151, 349","200, 796",,515,0
010500,"Physical planning
andsurveying services",,"73, 317, 822","59, 552, 716","13, 765, 106",81.2,515,0
Subtotal,,,"73, 317, 822","59, 552, 716","13, 765, 106",,515,0
010700,"Management and
development of towns",,"70, 422, 930","515, 200","69, 907, 730",0.7,515,0
Subtotal,,,"70, 422, 930","515, 200","69, 907, 930",,515,0
"Department of roads, transport andpublic works",,,,,,,515,0
020100,"General administration
andsupport services",,"83, 727, 665","82, 781, 131","946, 534",98.9,515,0
Subtotal,,,"83, 727, 665","82, 781, 131","946, 534",,515,0
020200,"Roads development
andmanagement",,"152, 071, 270","149, 293, 100","2, 778, 170",98.2,515,0
Subtotal,,,"152, 071, 270","149, 293, 100","2, 778, 170",,515,0
020200,,"Roads development
andmanagement","1, 000, 000","999, 950",50,100.0,515,0
Subtotal,,,"1, 000, 000","999, 950",50,,515,0
"Department of Trade, Tourism, Industrialisation andCooperative Development",,,,,,,515,0
030100,"Policy planning,
general administration
andsupport services",,"41, 166, 152","40, 695, 864","470, 288",98.9,515,0
030300,"Tourism development
andpromotion",,"1, 314, 420","971, 200","343, 220",73.9,515,0
,Subtotal,,"42, 480, 572","41, 667, 064","813, 508",,515,0
030200,"Trade, cooperative, investment
development promotion",,"23, 859, 378","13, 179, 755","10, 679, 624",55.2,515,0
Subtotal,,,"23, 859, 378","13, 179, 755","10, 679, 624",,515,0
"Department of youths, sports, gender, culture, social services",,,,,,,515,0
070100,"General administration
andsupport services",,"55, 208, 149","54, 566, 839","641, 309",98.8,515,0
,Subtotal,,"55, 208, 149","54, 566, 839","641, 309",,515,0
090200,"Promotion and
management of sports",,"9, 156, 275","4, 383, 045","4, 773, 230",47.9,515,0
Subtotal,,,"9, 156, 275","4, 383, 045","4, 773, 230",,515,0
090200,"Promotion and
management of sports",,"29, 751, 469","17, 325, 700","12, 425, 769",58.2,515,0
Subtotal,,,"29, 751, 469","17, 325, 700","12, 425, 769",,515,0
Department of County Public Service Board,,,,,,,515,0
