#,Name of Medicine,Dose-form,Strength  / Size,LOU
27.3.2,Lidocaine (Lignocaine)521,Spray,10mg/metered dose(actuation),4.0
28  MEDICINES for RHEUMATOLOGY,,,,
28.1 Medicines used to treat Gout,,,,
28.1.1,Allopurinol,Tablet,100mg,4.0
,,,300mg,4.0
28.1.2,Colchicine,Tablet,500 micrograms,4.0
28.1.3,Febuxostat522,Tablet,40mg,5.0
28.1.4,Probenecid523,Tablet,250mg,6.0
"28.2 Disease-modifying agents used in rheumatic disorders (DMARDs) and Immunosuppressants used inRheumatologyPrior to using biologic DMARDs, there is need to screen for TB, HIV and Hepatitis viruses. Where possible, vaccinateprior to use. Biologic DMARDs require cold chain storage and transport.",,,,
28.2.1,Abatacept524,PFI (IV),250mg,6.0
28.2.2,Adalimumab525,Injection,40mg/0.4mL,6.0
28.2.3,Azathioprine,Tablet,50mg,4.0
28.2.4,Baricitinib526,Tablet,2mg,6.0
28.2.5,Cyclosporin527,Capsule,25mg,6.0
,,,100mg,6.0
28.2.6,Etanercept,Injection,25mg vial528,6.0
,,,50mg vial529,6.0
28.2.7,Golimumab530,Injection (solution) (SC),50mg,6.0
28.2.8,Hydroxychloroquine531,Tablet,200mg (as sulphate),4.0
28.2.9,Infliximab532,PFI,100mg,6.0
