#,Name of Medicine,Dose-form,Strength  / Size,LOU
7.5.3.1.5,Dihydroartemisinin +Piperaquine (DHA-PPQ)174,Tablet,20mg + 160mg,3.0
,Tablet (scored),40mg + 320mg,3,
7.5.3.1.6,Doxycycline175,Capsule,100mg (as HCl or hyclate),2.0
7.5.3.1.7,Primaquine176,Tablet,7.5mg (as diphosphate),3.0
,,15mg (as diphosphate),3,
7.5.3.1.8,Quinine,Injection177,300mg/mL (as HCl) (2mLamp),3.0
,Tablet (f/c)178,300mg (as sulphate orbisulphate),2,
7.5.3.2 For Prophylaxis,,,,
7.5.3.2.1,Atovaquone + Proguanil179,Tablet (f/c),62.5mg (as HCl) + 25mg,4.0
,,250mg (as HCl) + 100mg,4,
7.5.3.2.2,Doxycycline180,Capsule,100mg (as HCl),2.0
7.5.3.2.3,Mefloquine181,Tablet,250mg (as HCl),4.0
7.5.3.2.4,Proguanil182,Tablet,100mg (as HCl),2.0
7.5.3.2.5,Sulfadoxine +Pyrimethamine183,Tablet,500mg + 25mg,2.0
