#,Name of Medicine,Dose-form,Strength  / Size,LOU
7.4 Antiviral Medicines,,,,
7.4.1 Antiherpes medicines,,,,
7.4.1.1,Acyclovir146,PFI,250mg vial(as sodium salt),4.0
,,Tablet (scored),400mg,2.0
7.4.2 AntiretroviralsEssential medicines for treatment and prevention of HIV (prevention of mother-to-child transmission andpost-exposure prophylaxis). Use of fixed dose combination (FDC) medicines for Antiretroviral therapy (ART) isrecommended.,,,,
7.4.2.1 Nucleoside/Nucleotide Reverse Transcriptase Inhibitors (NRTI),,,,
7.4.2.1.1,Abacavir (ABC)147,Tablet,300mg,2.0
,,Oral Solution,20 mg/mL,2.0
7.4.2.1.2,Lamivudine (3TC),Oral liquid,50mg/5mL,2.0
7.4.2.1.3,Tenofovir Alafenamide (TAF),Tablet,25mg,2.0
7.4.2.1.4,Tenofovir disoproxilfumarate (TDF)148,Tablet,300mg,2.0
7.4.2.1.5,Zidovudine (AZT or ZDV),Oral liquid,50mg/5mL,2.0
,,Tablet,300mg,2.0
7.4.2.2 Non-nucleoside Reverse Transcriptase Inhibitors (NNRTI),,,,
7.4.2.2.1,Dapivirine,Vaginal ring,25mg,2.0
7.4.2.2.2,Etravirine (ETV),Tablet,25mg,3.0
,,,100mg,3.0
,,,200mg,3.0
7.4.2.2.3,Nevirapine (NVP),Oral liquid,10mg/mL,2.0
7.4.2.3 Protease Inhibitors (PI),,,,
7.4.2.3.1,Atazanavir + Ritonavir(ATV/r),Tablet (heat-stable),300mg + 100mg,2.0
