#,Name of Medicine,Dose-form,Strength  / Size,LOU
3.3 Adjuncts for pain Management and Medicines for other Symptoms in Palliative Care,,,,
3.3.1,Amitriptyline,Tablet,25mg,2.0
3.3.2,Bisacodyl,Tablet,5mg,2.0
3.3.3,Carbamazepine44,Tablet (scored),200mg,4.0
3.3.4,Dexamethasone,Injection,4mg (as sodiumphosphate)/1mL amp,3.0
,,Tablet,500 micrograms,3.0
,,Tablet (scored),4mg,3.0
3.3.5,Diazepam,Injection,5mg/mL (2mL amp),4.0
,,Tablet (scored),5mg,4.0
3.3.6,Gabapentin45,Tablet,300mg,4.0
3.3.7,Haloperidol46,Injection,5mg/1mL amp,3.0
,,Tablet (scored),5mg,3.0
3.3.8,Hyoscine butylbromide,Injection,20mg/1mL amp,3.0
,,Tablet47,10mg,3.0
3.3.9,Lactulose,Oral liquid,3.1-3.7g/5mL,4.0
3.3.10,Loperamide,Capsule,2mg,3.0
3.3.11,Metoclopramide48,Injection,5mg/mL (2mL amp),4.0
,,Tablet,10mg,2.0
3.3.12,Midazolam49,Injection,1mg (as HCl)/mL (5mLamp),5.0
