#,Name of Medicine,Dose-form,Strength  / Size,LOU
32  VITAMINS and MINERALS,,,,
32.1,Ascorbic acid (Vit C)573,Tablet,50mg,2.0
,,250mg,2,
,,1g,2,
32.2,Calcitriol (Vit D3)574,Capsule,250 micrograms,4.0
,Injection,1 microgram/mL (1 mL),4,
32.3,Calcium carbonate575,Tablet (chewable),1.25g,4.0
,,500mg,4,
32.4,Calcium gluconate,Injection,100mg/mL (10%) (10mLamp),4.0
32.5,Cholecalciferol (Vit D3),Oral liquid (drops)576,400 IU/mL [c],4.0
,Injection (IM/Oral)577,"300,000 IU/1mL amp",4,
32.6,Ergocalciferol (Vit D2)578,Oral liquid,"250 micrograms (10,000IU)/mL",4.0
,Tablet / Capsule,"250 micrograms (10,000IU)",4,
,,"1.25mg (50,000 IU)",4,
32.7,Niacinamide579,Tablet,500mg,3.0
