#,Name of Medicine,Dose-form,Strength  / Size,LOU
6.13,Phenobarbital(Phenobarbitone) sodium,Injection,30mg/1mL amp [c]86,2.0
,,,200mg/1mL amp,2.0
,,Tablet (scored),30mg,2.0
6.14,Phenytoin sodium,Injection,50mg/mL (5mL vial),4.0
,,Oral liquid,30mg/5mL,4.0
,,Tablet / Capsule,50mg,4.0
,,,100mg,4.0
6.15,Pregabalin,Capsule,25mg,4.0
,,,75mg,4.0
6.16,Topiramate,Tablet,25mg,5.0
,,,50mg,5.0
6.17,Valproic acid (SodiumValproate),Injection87,100mg/mL (4mL amp),4.0
,,,100mg/ mL (10mL amp),4.0
,,Oral liquid,200mg/5mL,4.0
,,Tablet (e/c),200mg,4.0
,,,500mg,4.0
,,Tablet (crushable),100mg,4.0
7  ANTI-INFECTIVE MEDICINES,,,,
7.1 Anthelminthics,,,,
7.1.1 Intestinal Anthelminthics,,,,
7.1.1.1,Albendazole,Tablet (chewable)88,400mg,1.0
Suspension89,100mg/5mL,1,,
