#,Name of Medicine,Dose-form,Strength  / Size,LOU
7.5.1.4,Tinidazole165,Tablet (f/c),250mg,2.0
,,500mg,2,
7.5.2 Antileishmaniasis Medicines,,,,
7.5.2.1,Amphotericin B166,Injection,(Liposomal) 50mg vial,4.0
7.5.2.2,Paromomycin167,Injection solution (IM),375mg/mL (as sulphate)(2mL amp),4.0
7.5.2.3,Sodium stibogluconate168,Injection,100mg/mL (100mL amp),4.0
7.5.3 Antimalarial medicines,,,,
7.5.3.1 For curative treatmentMedicines for the treatment of P. falciparum malaria cases should be used in combination according to treatmentguidelines.,,,,
7.5.3.1.1,Artemether169,"Injection (oily, IM)",80mg/mL in 1mL amp,2.0
7.5.3.1.2,Artemether+ lumefantrine(AL),Tablet,20mg + 120mg170,1.0
,Tablet (dispersible)171,20mg + 120mg [c],1,
7.5.3.1.3,Artesunate,Injection (IM/IV)172,30mg vial,2.0
,,60mg vial,2,
,Suppository,100mg,1,
7.5.3.1.4,Artesunate + Pyronaridinetetraphosphate173,Tablet (f/c),60mg + 180mg,2.0
Granules for oral suspension,20mg + 60mg [c],2,,
