#,Name of Medicine,Dose-form,Strength  / Size,LOU
9.2.1.30,Paclitaxel235,Concentrate (for IV infusion),6mg/mL (5mL vial),5.0
,,6mg/mL (16.7mL vial),5,
,,6mg/mL (50mL vial),5,
9.2.1.31,Pegaspargase236,Injection,3750 Units/5mL vial,5.0
9.2.1.32,Pemetrexed,PFI or solution for injection,500mg,5.0
9.2.1.33,Procarbazine237,Capsule,50mg (as HCl),5.0
9.2.1.34,Temozolomide238,Capsule,100mg,5.0
,,20mg,5,
9.2.1.35,Tioguanine239,SODF,40mg [c],5.0
9.2.1.36,Topotecan240,Injection,2.5mg,5.0
9.2.1.37,Vinblastine241,Injection,1mg/mL (as sulphate)(10mL vial),5.0
9.2.1.38,Vincristine242,PFI or solution for injection,1mg/mL (as sulphate) vial,5.0
9.2.1.39,Vinorelbine243,Injection,10mg/mL (1mL vial),5.0
10mg/mL (5mL vial),5,,,
