#,Name of Medicine,Dose-form,Strength  / Size,LOU
23.6.1.3,Ergometrine468,Injection,500 micrograms/1mL (ashydrogen maleate) amp,2.0
23.6.1.4,Mifepristone + Misoprostol469,Tablet,Mifepristone 200mg (1Tablet) and Misoprostol200 micrograms (4 vaginaltablets) in Combi-pack,2.0
23.6.1.5,Misoprostol,Tablet,200 micrograms470,2.0
,Vaginal Tablet,25 micrograms471,2,
23.6.1.6,Oxytocin472,Injection,10 IU/1mL amp,2.0
23.6.1.7,Prostaglandin E2473,Vaginal Tablet,3mg,4.0
23.7 Anti-oxytocics (Tocolytics),,,,
23.7.1,Salbutamol,Injection474,500 micrograms (assulphate)/mL (5mL amp),4.0
23.7.2,Terbutaline,Injection475,"0.5mg/mL, 1mL",4.0
,,"0.5mg/mL, 5mL",4,
23.8 Other medicines administered to the mother,,,,
23.8.1,Dexamethasone476,Injection,4mg (as disodiumphosphate)/mL,4.0
23.8.2,Tranexamic acid477,Injection,100mg/mL (10mL amp),2.0
23.9 Medicines administered to the neonate [c],,,,
23.9.1,Caffeine citrate,Sterile solution for IV or oraluse,20mg/mL [c]478,4.0
10mg/mL [c]479,4,,,
