#,Name of Medicine,Dose-form,Strength  / Size,LOU
31.2.2,Glucose,Injectable solution,5% (isotonic) (500mLinfusion pack),2
,,,10% (hypertonic) (500mLinfusion pack),2
,,,50% (hypertonic) (50mLamp)565,4
31.2.3,Glucose + Sodium chloride566,Injectable solution,5% + 0.9% [c],2
31.2.4,Potassium acid phosphate,Injection,13.6% w/v sterile aqueoussolution,4
31.2.5,Potassium chloride,Injectable solution for dilution,15% (10mL amp)567,4
31.2.6,Sodium chloride,Injectable solution (infusion),0.45% (hypotonic)(500mL) [in collapsiblebottle or Euro cap]568,4
,,,0.9% (isotonic) (500mL)569,2
,,,0.9% (isotonic) (100mL),2
,,,0.9% (isotonic) (250mL),2
,,,3% (hypertonic) (100mLamp)570,5
,,Injectable solution,30% (hypertonic) (10mLamp),5
31.2.7,Sodium hydrogen carbonate(Sodium bicarbonate),Injectable solution,8.4% (10mL amp)571,2
31.2.8,Sodium lactate compound(Hartmann’s /Ringers lactate),Injectable solution (infusion),BP formula (500mL)572,2
31.2.9,Water for injection,Injection,10mL amp,2
