#,Name of Medicine,Dose-form,Strength  / Size,LOU
30.10,Zinc Hyaluronate (zinc-hyaluronan),Gel (water-based),15g,2.0
"31  MEDICINES for correcting WATER, ELECTROLYTE and ACID-BASE DISTURBANCES",,,,
31.1 Oral,,,,
31.1.1,Calcium carbonate555,Tablet,500mg,4.0
31.1.2,Calcium Carbonate withVitamin D,Tablet,Minimum Calcium1000mg/600IU of vitaminD,4.0
31.1.3,Calcium polystyrenesulphonate556,Powder,15g sachet,4.0
31.1.4,Magnesium chloride557,Tablet,71.5mg (containingCalcium as carbonate119mg per Tablet),4.0
31.1.5,Oral rehydration salts (ORS),PFOL (to make 500mL),Sachet (WHO low-osmolarity formula),1.0
31.1.6,Oral rehydration salts + Zincsulphate,"Co-pack (4 sachets + 10 Tablets,(dispersible))",PFOL in sachet to make500mL + 20mg Tablet [c],2.0
31.1.7,Potassium chloride558,Tablet (e/r),600mg,4.0
31.1.8,Rehydration solution formalnutrition (ReSoMal),PFOL (to make 1L),Sachet (42g) (WHOformula),4.0
31.1.9,Sevelamer559,Tablet,400mg,4.0
,,800mg,4,
31.1.10,Sodium acid phosphate560,Tablets (effervescent),1.936g (equiv. tophosphorus 500mg),4.0
31.1.11,Sodium chloride,Tablet,600mg,4.0
31.1.12,Sodium polystyrenesulphonate561,Powder,450g,4.0
31.1.13,Sodium hydrogen carbonate(Sodium bicarbonate)562,Tablet,1g,5.0
31.1.14,Tolvaptan563,Tablet,15mg,5.0
31.2 Parenteral,,,,
31.2.1,Calcium gluconate564,Injection,100mg/mL (10%) (10mLamp),4.0
