#,Name of Medicine,Dose-form,Strength  / Size,LOU
3.3.13,Ondansetron,Injection50,2mg (as HCl)/mL (2mLamp),2.0
,,Oral liquid51,4mg base/5mL [c],2.0
,,Tablet52,4mg (as HCl),2.0
3.3.14,Prednisolone,Oral liquid,15mg/5mL [c],4.0
,,Tablet,5mg,4.0
3.3.15,Pregabalin53,Capsule,25mg,5.0
,,,75mg,5.0
3.3.16,Senna54,Tablet,7.5mg,4.0
4  ANTIALLERGICS and MEDICINES used in ANAPHYLAXIS,,,,
4.1,Cetirizine,Tablet,10mg,2.0
,,Oral liquid,1mg/mL,2.0
4.2,Chlorpheniramine,Injection55,10mg (as maleate)/1mLamp,2.0
,,Oral liquid56,2mg (as maleate)/5mL,2.0
4.3,Dexamethasone,Injection,4mg (as sodiumphosphate)/1mL amp,4.0
4.4,Diphenhydramine57,Injection,50mg/mL,4.0
4.5,Epinephrine (adrenaline)58,Injection,1mg /1mL amp,2.0
4.6,Hydrocortisone,PFI,100mg (as sod. succinate)vial,2.0
4.7,Loratadine,Tablet,10mg,2.0
