#,Name of Medicine,Dose-form,Strength  / Size,LOU
9.2.1.13,Dactinomycin (ActinomycinD)216,PFI,500 micrograms vial,5.0
9.2.1.14,Daunorubicin217,PFI,20mg vial (as HCl),5.0
,,,50mg vial (as HCl),5.0
9.2.1.15,Docetaxel218,Injection (premixed),120mg vial,5.0
,,,80mg vial,5.0
9.2.1.16,Doxorubicin,PFI or Solution for Injection219,50mg vial (as HCl),5.0
9.2.1.17,Etoposide220,Capsule,50mg,5.0
,,,100mg,5.0
,,Injection,20mg/mL (5mL vial),5.0
9.2.1.18,Fluorouracil221,Injection,50mg/mL (5mL vial),5.0
9.2.1.19,Gemcitabine222,PFI,200mg vial,5.0
,,,1g vial,5.0
9.2.1.20,Hydroxycarbamide(Hydroxyurea)223,SODF,500mg,5.0
9.2.1.21,Ifosfamide + Mesna224,Injection,1g + 600mg,5.0
2g + 1200mg,5,,,
