#,Name of Medicine,Dose-form,Strength  / Size,LOU
5.2.10,Lipid emulsion68,Injection,20% (200 to 500mL),4.0
5.2.11,Naloxone69,Injection,400 micrograms (asHCl)/1mL amp,4.0
5.2.12,Phytomenadione (Vit K1)70,Injection,10mg/mL (1mL amp),4.0
5.2.13,Pralidoxime71,PFI,1g (as chloride or mesilate)vial,4.0
5.2.14,Protamine72,Injection,10mg/mL (as sulphate)(5mL amp),4.0
5.2.15,Sodium hydrogen carbonate(Sodium bicarbonate)73,Injectable solution,8.4% (10mL amp),4.0
5.2.16,Sodium nitrite74,Injection,30mg/mL (10mL amp),4.0
5.2.17,Sodium thiosulphate75,Injection,250mg/mL (50mL amp),4.0
5.2.18,Succimer[Dimercaptosuccinic acid(DMSA)]76,Capsule,100mg,5.0
6  ANTICONVULSANTS/ANTIEPILEPTICS,,,,
6.1,Acetazolamide,Tablet,250mg,5.0
,,500mg,5,
6.2,Carbamazepine,Oral liquid,100mg/5mL,4.0
,Tablet (cross-scored),200mg,4,
6.3,Clobazam,Tablet,10mg (scored),4.0
6.4,Clonazepam,Tablet,0.5mg,4.0
,,2mg,4,
6.5,Diazepam77,Rectal gel,5mg/mL (0.5mL tube),2.0
