#,Name of Medicine,Dose-form,Strength  / Size,LOU
3.1.6,Paracetamol,Injection (for IV infusion)34,10mg/mL (100mL vial),4.0
,Oral liquid,120mg/5mL [c],1,
,Suppository,125mg [c],2,
,Tablet (scored),500mg,1,
3.2 Opioid analgesics,,,,
3.2.1,Dihydrocodeine phosphate35,Tablet,30mg,4.0
3.2.2,Fentanyl,Transdermal patch,25 micrograms/hr36,5.0
,,50 micrograms/hr37,5,
3.2.3,Methadone38,Tablet39,5mg,4.0
,Oral Solution39,1mg/mL,4,
3.2.4,Morphine40,Injection,10mg (as HCl orsulphate)/1mL amp,4.0
,Injection (for Infusion)41,30mg/mL,4,
,Oral liquid,1mg (as HCl or sulphate)/mL,3,
,Oral liquid,10mg (as HCl or sulphate)/mL,3,
,Tablet (m/r),30mg (sulphate),4,
3.2.5,Oxycodone42,Tablet (i/r),5mg (as HCI),6.0
3.2.6,Tramadol43,Capsule,50mg,5.0
Injection,50mg/mL(2mL amp),5,,
