#,Name of Medicine,Dose-form,Strength  / Size,LOU
7.2.5.1 Single medicines,,,,
7.2.5.1.1,Ethambutol (E),"Tablet, (dispersible)",100mg,2.0
,,Tablet,400mg,2.0
7.2.5.1.2,Isoniazid (H),Tablet,50mg (scored),2.0
,,,100mg,2.0
,,,300mg,2.0
,,Injection,100mg/mL,4.0
7.2.5.1.3,Pyrazinamide (Z),Tablet,500mg,2.0
,,,150mg (scored),2.0
,,"Tablet, (dispersible)",150mg,2.0
7.2.5.1.4,Rifampicin (R),Capsule,150mg,2.0
,,,300mg,2.0
,,PFI,600mg,4.0
7.2.5.2 Fixed dose combinations (FDCs),,,,
7.2.5.2.1,Rifampicin + Isoniazid (RH),Tablet,150mg + 75mg,2.0
,,,75mg + 50mg [c],2.0
7.2.5.2.2,Rifampicin + Isoniazid +Pyrazinamide (RHZ),Tablet,75mg + 50mg + 150mg [c],2.0
7.2.5.2.3,Rifampicin + Isoniazid +Pyrazinamide + Ethambutol(RHZE),Tablet,150mg + 75mg + 400mg+ 275mg,2.0
7.2.5.2.4,Rifapentine + Isoniazid (3HP),Tablet,300mg+300mg,5.0
7.2.5.3 Medicines for treatment of multi-drug resistant Tuberculosis (MDR-TB)Medicines for the treatment of multidrug-resistant tuberculosis (MDR-TB) should be used in specialized centresadhering to WHO standards for TB control.,,,,
7.2.5.3.1,Amikacin (Am),Injection,1g (as sulphate) vial,3.0
7.2.5.3.2,Amoxicillin + clavulanic acid(Amx+Clv),Tablet,875mg + 125mg (1g),3.0
7.2.5.3.3,Bedaquiline (Bdq),Tablet,100mg,3.0
