#,Name of Medicine,Dose-form,Strength  / Size,LOU
22.8.3,Polyacrylic acid453,Eye Gel,0.2%,4.0
22.8.4,Riboflavin454,Solution (eye-drops),0.1% with Dextran,5.0
,,Solution (eye-drops),0.1% without Dextran,5.0
22.8.5,Sodium Hyaluronate455,Solution (eye-drops),1% (preseverative free),4.0
22.8.6,Trypan blue456,Intracameral Solution,0.06%,5.0
23  MEDICINES for REPRODUCTIVE HEALTH and PERINATAL CARE,,,,
23.1 Contraceptives,,,,
23.1.1 Oral hormonal contraceptives,,,,
23.1.1.1,Ethinylestradiol +Levonorgestrel,Tablet,30 micrograms + 150micrograms,2.0
23.1.1.2,Ethinylestradiol +Norethisterone,Tablet,35 micrograms + 1mg,2.0
23.1.1.3,Levonorgestrel457,Tablet,30 micrograms,2.0
For Emergency contraception,,,,
23.1.1.4,Levonorgestrel,Tablet,750 micrograms (packof 2)458,2.0
,,,1.5mg,2.0
23.1.2 Injectable hormonal contraceptives,,,,
23.1.2.1,Medroxyprogesteroneacetate (DMPA),Depot Injection (IM)459,150mg/1mL (prefilledsyringe),2.0
,,Depot Injection (SC)460,104 mg/0.65 mL (prefilledsyringe),2.0
23.1.3 Intrauterine devices (IUD),,,,
23.1.3.1,Copper-containing device461,,,2.0
23.1.3.2,Levonorgestrel (LNG)462,LNG-releasing Intrauterinesystem (LNG-IUS),Reservoir with 52mg,2.0
