#,Name of Medicine,Dose-form,Strength  / Size,LOU
9.2.4.3,Bicalutamide265,Tablet,50mg,5.0
9.2.4.4,Dexamethasone266,Injection,4mg/1mL amp (as sodiumphosphate),5.0
,Tablet (scored),4mg,5,
9.2.4.5,Goserelin267,Implant (in syringe applicator),3.6mg (as acetate),5.0
,,,10.8mg (as acetate),5.0
9.2.4.6,Hydrocortisone268,PFI,100mg vial (as sodiumsuccinate),5.0
9.2.4.7,Letrozole269,Tablet,2.5mg,5.0
9.2.4.8,Methylprednisolone270,PFI,500mg (as sodiumsuccinate) [c],5.0
9.2.4.9,Octreotide271,Injection kit,20mg,5.0
9.2.4.10,Prednisolone272,Oral liquid,15mg/5 mL [c],5.0
,Tablet,5mg,5,
,,,20mg,5.0
9.2.4.11,Tamoxifen273,Tablet,20mg (as citrate),5.0
9.2.5 Supportive medicines,,,,
9.2.5.1,Allopurinol274,Tablet,100mg,5.0
,,,300mg,5.0
9.2.5.2,Febuxostat275,Tablet,40mg,4.0
