#,Name of Medicine,Dose-form,Strength  / Size,LOU
7.4.4 Antihepatitis Medicines,,,,
7.4.4.1 Medicines for Hepatitis BMedicines for Hepatitis B treatment should only be used under close supervision of a specialist.,,,,
7.4.4.1.1 Nucleoside/Nucleotide reverse transcriptase inhibitors,,,,
7.4.4.1.1.1,Entecavir161,Oral liquid,0.05mg/mL,5.0
,,Tablet,0.5mg,4.0
7.4.4.1.1.2,Lamivudine (3TC),Tablet,150mg,4.0
,,Oral liquid,50mg/5mL,5.0
7.4.4.1.1.3,Tenofovir Alafenamide (TAF),Tablet,25mg,4.0
7.4.4.1.1.4,Tenofovir disoproxilfumarate (TDF)162,Tablet,300mg,4.0
7.4.4.2 Medicines for Hepatitis C,,,,
7.4.4.2.1 non-pangenotypic direct-acting antiviral combinations,,,,
7.4.4.2.1.1,Ledipasvir + Sofosbuvir,Tablet,90mg + 400mg,5.0
7.4.4.2.2 Pangenotypic direct-acting antiviral combinations,,,,
7.4.4.2.2.1,Sofosbuvir+Velpatasvir,Tablet,400mg + 100mg,5.0
7.5 Antiprotozoal medicines,,,,
7.5.1 Antiamoebic and antigiardiasis medicines,,,,
7.5.1.1,Diloxanide163,Tablet,500mg (as furoate),2.0
7.5.1.2,Diloxanide furoate +Metronidazole164,Oral liquid,250mg + 200mg,2.0
,,Tablet,500mg + 400mg,2.0
7.5.1.3,Metronidazole,Injection,500mg/100mL vial,3.0
Oral liquid,200mg/5mL (as benzoate),2,,
Tablet,400mg (scored),2,,
