#,Name of Medicine,Dose-form,Strength  / Size,LOU
13.2.2.2,Coagulation factor IX,PFI (Extended half-life),250 IU/vial,4.0
,,,500 IU/vial,4.0
,,,"1,000 IU/vial",4.0
13.3 Plasma substitutes,,,,
13.3.1,Dextran- 70303,Solution,6%,4.0
13.3.2,Gelatin-based colloid304,Solution for Infusion,4%,4.0
13.3.3,Hydroxyethyl starch305,Solution for Infusion,6%,4.0
13.3.4,Human albumin infusion306,Solution,5%,4.0
,,,20%,4.0
13.3.5,Polygeline307,Infusion (IV),3.5% (500mL pack),4.0
14  CARDIOVASCULAR MEDICINES,,,,
14.1 Antianginal Medicines,,,,
14.1.1,Bisoprolol,Tablet,2.5mg,4.0
,,,5mg,4.0
14.1.2,Carvedilol,Tablet,3.125mg,4.0
,,,6.25mg,4.0
,,,12.5mg,4.0
,,,25mg,4.0
14.1.3,Glyceryl trinitrate,Tablet (sublingual),500 micrograms,4.0
,,Spray (sublingual),400micrograms/ dose,4.0
14.1.4,Isosorbide dinitrate,Tablet,20mg,4.0
Tablet (Sublingual),5mg,4,,
