#,Name of Medicine,Dose-form,Strength  / Size,LOU
7.4.2.5.3,Tenofovirdisoproxil fumarate +Lamivudine (TDF+3TC),Tablet,300mg + 300mg,2.0
7.4.2.5.4,Tenofovir Alafenamide +Lamivudine + Dolutegravir(TAF+3TC+DTG),Tablet,25mg + 300mg + 50mg,2.0
7.4.2.5.5,Tenofovir disoproxil fumarate+ Lamivudine + Dolutegravir(TDF+3TC+DTG)154,Tablet,300mg + 300mg + 50mg,2.0
7.4.2.5.6,Tenofovir disoproxil fumarate+ Lamivudine + Efavirenz(TDF+3TC+EFV),Tablet,300mg + 300mg + 400mg,2.0
7.4.2.5.7,Zidovudine + Lamivudine(AZT+3TC),Tablet,300mg + 150mg,2.0
7.4.2.6 Medicines for prevention of HIV-related opportunistic infections,,,,
7.4.2.6.1,Co-trimoxazole(Sulfamethoxazole +Trimethoprim)155,Oral liquid,240mg/5mL [c],2.0
,,Tablet,800 + 160mg,2.0
7.4.2.6.2,Dapsone156,Tablet,25mg,2.0
,,,100mg,2.0
7.4.3 Other Antivirals,,,,
7.4.3.1,Gancyclovir157,PFI,500mg vial,5.0
7.4.3.2,Ribavirin,Injection (IV)158,800mg in 10mL phosphatebuffer solution,4.0
,,Capsule159,200mg,4.0
7.4.3.3,Valgancyclovir160,Tablet,450mg,5.0
PFOL,50mg/mL,5,,
