#,Name of Medicine,Dose-form,Strength  / Size,LOU
7.2.1.9,Doxycycline101,Tablet / Capsule,100mg (as hyclate),2.0
7.2.1.10,Flucloxacillin,Capsule102,250mg (as sodium salt),2.0
,,500mg (as sodium salt),2,
,PFOL102,125mg (as sodiumsalt)/5mL,2,
,PFI103,500mg (as sodium salt)vial,4,
7.2.1.11,Gentamicin104,Injection,10mg/mL (assulphate) (2mL vial),3.0
,,40mg/mL (assulphate) (2mL vial),3,
7.2.1.12,Metronidazole,Injection105,5mg/mL (100mL vial),4.0
,Oral liquid106,200mg/5mL (as benzoate),2,
,"Tablet (f/c, scored)",400mg,2,
7.2.1.13,Nitrofurantoin107,Oral liquid,25mg/5mL [c],2.0
,Tablet,100mg,2,
7.2.1.14,Phenoxymethylpenicillin(Penicillin V)108,PFOL,250mg (as potassium salt)/5mL,3.0
,Tablet,250mg (as potassium salt),3,
7.2.1.15,Tinidazole109,Tablet (f/c),500mg,2.0
