#,Name of Medicine,Dose-form,Strength  / Size,LOU
14.5.2.3,Tenecteplase336,PFI with prefilled syringe with10mL water for injection,50mg (10000IU),5.0
14.6 Lipid-lowering agents,,,,
14.6.1,Atorvastatin,Tablet,20mg,3.0
,,40mg,3,
,,80mg,3,
15  DERMATOLOGICAL MEDICINES (Topical),,,,
15.1 Antifungal medicines,,,,
15.1.1,Clotrimazole,Cream,1%,2.0
15.1.2,Miconazole,Cream,2% (as nitrate),3.0
15.1.3,Terbinafine337,Cream,1% (as HCl),4.0
15.2 Anti-infective medicines,,,,
15.2.1,Fusidic acid338,Ointment,2% (15g),4.0
15.2.2,Mupirocin339,Ointment,2% (15g),4.0
15.2.3,Silver sulphadiazine340,Cream,1% (50g),2.0
,,1% (250g),2,
15.3 Anti-inflammatory and antipruritic medicines,,,,
15.3.1,Betamethasone341,Cream,0.1% (as valerate),4.0
,Ointment342,0.1% (as valerate),4,
15.3.2,Calamine,Lotion,15%,1.0
15.3.3,Clobetasone propionate,Ointment,0.05%,4.0
