#,Name of Medicine,Dose-form,Strength  / Size,LOU
9.2.1.3,Bleomycin206,PFI,15mg vial (as sulphate),5.0
9.2.1.4,Cabazitaxel207,Injection,60mg,5.0
9.2.1.5,Calcium folinate208,Injection,10mg/mL (5mL vial),5.0
,Injection,10mg/mL (30mL vial),5,
,Tablet,15mg,5,
9.2.1.6,Capecitabine209,Tablet,150mg,5.0
,,500mg,5,
9.2.1.7,Carboplatin210,Injection,10mg/mL (15mL vial),5.0
,,10mg/mL (45mL vial),5,
9.2.1.8,Chlorambucil211,Tablet,2mg,5.0
9.2.1.9,Cisplatin212,Injection,1mg/mL (50mL vial),5.0
9.2.1.10,Cyclophosphamide213,PFI,500mg vial,5.0
,,1g vial,5,
,Tablet,50mg,5,
9.2.1.11,Cytarabine214,PFI,100mg vial,5.0
,,1g vial,5,
9.2.1.12,Dacarbazine215,PFI,200mg vial (as citrate),5.0
