#,Name of Medicine,Dose-form,Strength  / Size,LOU
18.7,Torsemide,Tablet,10mg,4.0
,,20mg,4,
19  GASTROINTESTINAL MEDICINES,,,,
19.1 Antiulcer medicines,,,,
19.1.1,Lansoprazole,Tablet (dispersible),15mg [c]377,4.0
19.1.2,Omeprazole,PFI378,40mg (as sodium salt) vial,4.0
,,Capsule,20mg,3.0
19.1.3,Pantoprazole,Tablet (dispersible),20mg,3.0
,,Capsule,20mg,3.0
,,PFI,40mg,4.0
19.2 Antiemetics,,,,
19.2.1,Dexamethasone,Tablet,4mg,4.0
,,2mg,4,
,,0.5mg,4,
,,Injection,4mg/mL in 1mL amp asdisodium phosphate salt,4.0
19.2.2,Domperidone379,Oral liquid,5mg/5mL,5.0
,,Tablet,10mg,3.0
19.2.3,Fosaprepitant380,Injection,150mg,5.0
19.2.4,Metoclopramide381,Injection,5mg/mL (2mL amp),2.0
Tablet,10mg,2,,
