#,Name of Medicine,Dose-form,Strength  / Size,LOU
9.2.5.3,Magnesium Sulphate276,Injection,4% (100mL vial),5.0
9.2.5.4,Mannitol277,Solution for Infusion,"20%, 500mL",5.0
9.2.5.5,Mesna278,Injection,100mg/mL (2mL amp),5.0
,,,100mg/mL (4mL amp),5.0
9.2.5.6,Rasburicase279,Injection,7.5mg/vial,5.0
9.2.5.7,Sodium hydrogen carbonate(Sodium bicarbonate)280,Injectable solution,8.4% (10mL amp),5.0
9.2.5.8,Zoledronic acid281,Concentrate solution forInfusion,800 micrograms/mL (in5mL vial),5.0
10  ANTIPARKINSONISM MEDICINES,,,,
10.1,Benzhexol,Tablet,5mg (as HCl),2.0
10.2,Biperiden282,Injection,5mg (lactate) in 1mL amp,4.0
,,Tablet,2mg (hydrochloride).,4.0
10.3,Levodopa + Carbidopa,Tablet,100mg + 10mg,4.0
,,,250mg + 25mg,4.0
10.4,Pramipexole,Tablet (scored),180 micrograms base,4.0
,,,700 micrograms base,4.0
11  MEDICINES for ALZHEIMER’S disease and DEMENTIA,,,,
11.1,Donepezil283,Tablet,5mg,4.0
10mg,4,,,
