#,Name of Medicine,Dose-form,Strength  / Size,LOU
9.2.2 Targeted therapies,,,,
9.2.2.1,All-trans retinoid acid(ATRA)244,Capsule,10mg,5.0
9.2.2.2,Bevacizumab245,Injection,100mg,5.0
,,,400mg,5.0
9.2.2.3,Bortezomib246,PFI,3.5mg vial,5.0
9.2.2.4,Gefitinib247,Tablet,250mg,5.0
9.2.2.5,Ibrutinib248,Capsule,140mg,5.0
9.2.2.6,Imatinib249,Tablet,400mg (as mesylate),5.0
9.2.2.7,Nilotinib250,Capsule,200mg,5.0
9.2.2.8,Osimertinib251,Tablet,80mg,5.0
9.2.2.9,Palbociclib252,Tablet,125mg,5.0
,,,100mg,5.0
,,,75mg,5.0
9.2.2.10,Pazopanib253,Tablet,200mg,5.0
,,,400mg,5.0
9.2.2.11,Rituximab254,Injection (IV),10mg/mL (10mL vial),5.0
10mg/mL (50mL vial),5,,,
