#,Name of Medicine,Dose-form,Strength  / Size,LOU
4.8,Prednisolone,Oral liquid,15mg/5mL [c],4.0
,,Tablet,5mg,4.0
5  ANTIDOTES and OTHER SUBSTANCES used in POISONINGS,,,,
5.1 Non-specific,,,,
5.1.1,Activated Charcoal,PFOL,50g,2.0
5.2 Specific,,,,
5.2.1,Acetylcysteine,Injection,200mg/mL (10mL amp59),4.0
5.2.2,Atropine,Injection,1mg (as sulphate)/1mLamp,2.0
5.2.3,Calcium folinate60,Injection,10mg/mL (5mL vial),4.0
5.2.4,Calcium gluconate61,Injection,100mg/mL in 10mL amp,3.0
5.2.5,Deferasirox62,Tablet,100mg,4.0
,,,400mg,4.0
5.2.6,Deferoxamine63,PFI,500mg (as mesilate) vial,4.0
5.2.7,Ethanol,Injection64,100% (10mL amp),4.0
,,Oral liquid (Medicinal)65,95-96%,4.0
5.2.8,Fomepizole66,Injection,5mg (as sulphate)/mL(20mL amp),5.0
5.2.9,Flumazenil67,Injection,100 micrograms/mL(5mL amp),4.0
