col_0,Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Department of the County Assembly,,,,,,429,1
Sub total,,"833, 070, 587","198, 362, 934","634, 707, 653",23.8,429,1
010100,"Policy planning, general administration","333, 926, 193","95, 650, 732","238, 275, 461",28.6,429,1
070800,Committee management services,"23, 959, 000","10, 466, 500","13, 492, 500",43.7,429,1
070900,Legislation and representation services,"475, 185, 394","92, 245, 702","382, 939, 691",19.4,429,1
Department of County Executive,,,,,,429,1
070100,General administration and support services,"401, 490, 445","118, 525, 262","282, 965, 183",29.5,429,1
subtotal,,"401, 490, 445","118, 525, 262","282, 965, 183",29.5,429,1
070100,General administration and support services,"20, 000, 000","204, 000","19, 796, 000",1.0,429,1
070600,Governance and coordination services,"47, 671, 880","6, 391, 400","41, 280, 480",13.4,429,1
subtotal,,"67, 671, 880","6, 595, 400","61, 076, 480",9.7,429,1
Department of Finance and economic planning,,,,,,429,1
050400,ICT Services,"13, 100, 000","797, 500","12, 302, 500",6.1,429,1
070100,General administration and support services,"343, 600, 913","190, 145, 623","153, 455, 290",55.3,429,1
070200,Budget management,"360, 000, 000","161, 140, 228","198, 859, 772",44.8,429,1
070500,Resource mobilisation,"25, 285, 542","1, 845, 450","23, 440, 092",7.3,429,1
Sub total,,"741, 986, 455","353, 928, 802","388, 057, 653",47.7,429,1
070200,Budget formulation and management,"114, 521, 474","30, 655, 150","83, 866, 324",26.7,430,0
Sub total,,"114, 521, 474","30, 655, 150","83, 866, 324",26.7,430,0
070400,County financial management & control,"3, 323, 155","512, 200","2, 809, 955",15.4,430,0
Sub total,,"3, 323, 155","512, 200","2, 809, 955",15.4,430,0
010100,General administration and support services,"3, 049, 570","352, 000","2, 697, 570",11.5,430,0
Sub total,,"3, 049, 570","352, 000","2, 697, 570",11.5,430,0
070400,County financial management & control,"3, 335, 487","1, 038, 850","2, 296, 637",31.1,430,0
Sub total,,"3, 335, 487","1, 038, 850","2, 296, 637",31.1,430,0
"Department of Agriculture, livestock and fisheries development",,,,,,430,0
010100,"Policy planning, general administration and
support services","150, 211, 350","57, 664, 354","92, 546, 996",38.4,430,0
Sub total,,"150, 211, 350","57, 664, 354","92, 546, 996",38.4,430,0
010400,Livestock promotion and development,"16, 297, 004","273, 000","16, 024, 004",1.7,430,0
Sub total,,"16, 297, 004","273, 000","16, 024, 004",1.7,430,0
010200,"Crop, agribusiness & land management services","315, 585, 348","71, 774, 731","243, 810, 617",22.7,430,0
Sub total,,"315, 585, 348","71, 774, 731","243, 810, 617",22.7,430,0
010300,Fisheries development & promotion services,"3, 001, 616",-,"3, 001, 616",-,430,0
Sub total,,"3, 001, 616",-,"3, 001, 616",-,430,0
"Environment, water and natural resources",,,,,,430,0
100100,"Policy planning, general administration and
support services","76, 613, 542","29, 846, 025","46, 767, 517",39.0,430,0
Subtotal,,"76, 613, 542","29, 846, 025","46, 767, 517",39.0,430,0
100200,Other energy sources promotion,"11, 715, 460","189, 100","11, 526, 360",1.6,430,0
Sub total,,"11, 715, 460","189, 100","11, 526, 360",1.6,430,0
100300,Water supply and management services,"58, 515, 563","2, 800, 460","55, 715, 103",4.8,430,0
Subtotal,,"58, 515, 563","2, 800, 460","55, 715, 103",4.8,430,0
100400,Agroforestry promotion,"172, 520, 089","1, 206, 000","171, 314, 089",0.7,430,0
Subtotal,,"172, 520, 089","1, 206, 000","171, 314, 089",0.7,430,0
Department of Education and vocational training,,,,,,430,0
050100,"General administration, policy planning &
support services","354, 455, 770","119, 690, 882","234, 764, 888",33.8,430,0
Sub total,,"354, 455, 770","119, 690, 882","234, 764, 888",33.8,430,0
050200,ECDE and CCC development services,"237, 042, 471","6, 775, 751","230, 266, 719",2.9,430,0
Subtotal,,"237, 042, 471","6, 775, 751","230, 266, 719",2.9,430,0
050300,Vocational training and development services,"21, 754, 281","416, 500","21, 337, 781",1.9,430,0
Subtotal,,"21, 754, 281","416, 500","21, 337, 781",1.9,430,0
Department of Health Services,,,,,,430,0
040100,"General administration, planning and support
services","1,510,290,200","636, 284, 777","874, 005, 423",42.1,430,0
Subtotal,,"1,510,290,200","636, 284, 777","874, 005, 423",42.1,430,0
040200,Curative health services,"332, 649, 821","47, 732, 818","284, 917, 002",14.3,431,0
Subtotal,,"332, 649, 821","47, 732, 818","284, 917, 002",14.3,431,0
"Department of Lands, housing and urban development",,,,,,431,0
010100,"Policy planning, general administration and
support services","110, 352, 145","44, 615, 929","65, 736, 216",40.4,431,0
Subtotal,,"110, 352, 145","44, 615, 929","65, 736, 216",40.4,431,0
010500,Physical planning and surveying services,"47, 317, 822","1, 899, 000","45, 418, 822",4.0,431,0
Subtotal,,"47, 317, 822","1, 899, 000","45, 418, 822",4.0,431,0
010700,Management and development of towns,"70, 922, 930","100, 000","70, 822, 930",0.1,431,0
Subtotal,,"70, 922, 930","100, 000","70, 822, 930",0.1,431,0
"Department of roads, transport and public works",,,,,,431,0
020100,General administration and support services,"83, 727, 665","40, 854, 377","42, 873, 288",48.8,431,0
Subtotal,,"83, 727, 665","40, 854, 377","42, 873, 288",48.8,431,0
020200,Roads development and management,"125, 663, 783","23, 162, 137","102, 501, 646",18.4,431,0
Subtotal,,"125, 663, 783","23, 162, 137","102, 501, 646",18.4,431,0
020200,Roads development and management,"1, 000, 000",-,"1, 000, 000",-,431,0
Subtotal,,"1, 000, 000",-,"1 ,000, 000",-,431,0
"Department of trade, tourism, industrialisation and cooperative development",,,,,,431,0
030100,"Policy planning, general administration and
support services","41, 166, 152","12, 613, 285","28, 552, 867",30.6,431,0
030300,Tourism development and promotion,"1, 314, 420","402, 000","912, 420",3.1,431,0
,Subtotal,"42, 480, 572","13, 015, 285","29, 465, 287",30.6,431,0
030200,"Trade, cooperative, investment development
promotion","14, 859, 378","1,602,450","13, 256, 928",10.8,431,0
Subtotal,,"14, 859, 378","1, 602, 450","13, 256, 928",10.8,431,0
"Department of youths, sports, gender, culture and social services",,,,,,431,0
070100,General administration and support services,"55, 208, 149","22, 607, 547","32, 600, 602",40.9,431,0
,Subtotal,"55, 208, 149","22, 607, 547","32, 600, 602",40.9,431,0
090200,Promotion and management of sports,"28, 156, 275","1, 191, 100","26, 965, 175",4.2,431,0
Subtotal,,"28, 156, 275","1, 191, 100","26, 965, 175",4.2,431,0
090200,Promotion and management of sports,"14, 251, 469",-,"14, 251, 469",-,431,0
Subtotal,,"14, 251, 469",-,"14, 251, 469",-,431,0
Department of County public service board,,,,,,431,0
070100,General administration and support services,"3, 599, 850","208, 922","3, 390, 928",5.8,431,0
100100,"Policy planning, general administration and
support services","62, 513, 440","21, 302, 767","41, 210, 673",34.1,431,0
